distance,noOfPeople,ac,food,room,category,month,dayType,temperature,humidity,pressure,windSpeed,windDirection,precipitation,latitude,longitude,finalPrice
70,2,0,0,0,Adventure,4,Weekday,30,72,1018,6,248,0,26.96361497828997,80.14739880203597,1290
236,5,1,0,1,Weekend,4,Weekday,37,58,1011,10,152,0,26.87194035233089,80.09475472642154,5610
101,2,1,1,0,Cultural,4,Weekday,18,69,998,23,235,3,26.96704498915422,80.38102886913029,3004
368,8,1,1,0,Adventure,4,Weekday,36,59,1006,25,47,0,26.850330065361742,80.84741108833269,6751
348,6,0,0,0,Cultural,4,Weekday,20,88,1018,3,274,0,26.482732955629793,80.94036063313554,4807
331,3,1,0,1,Cultural,4,Weekday,27,79,1013,11,208,0,26.460110750242595,80.15705621417852,5297
404,4,0,1,1,Adventure,4,Weekday,36,85,1010,25,183,0,26.85633720188579,80.12873133787157,6821
488,4,0,0,0,Cultural,4,Weekday,30,70,998,24,285,0,26.591341281273774,80.25165578404996,5029
107,3,0,0,0,Cultural,4,Weekday,21,34,990,3,190,0,26.348722407718064,80.47409229459218,2020
39,1,1,0,1,Adventure,4,Weekday,16,48,1017,5,250,0,26.078516087694137,80.20793964463896,3460
22,1,1,0,0,Adventure,4,Weekday,20,44,1004,24,287,0,26.662654034637377,80.31680374847505,1394
83,3,1,1,0,Adventure,4,Weekday,26,58,1012,2,292,0,26.71527365994034,80.61606538770766,2745
328,4,0,1,0,Cultural,4,Weekday,20,64,1003,25,270,0,26.63049044964854,80.12119872596395,4505
25,3,1,0,0,Cultural,4,Weekday,24,37,1011,6,171,1,26.688802408510377,80.98753932228585,2205
162,8,0,0,0,Cultural,4,Weekday,33,70,1006,8,312,8,26.785378544672355,80.74648555588968,3581
89,2,1,0,1,Weekend,4,Weekday,38,52,1008,25,56,9,26.632722219387873,80.55463266183743,3997
355,5,0,1,1,Cultural,4,Weekday,22,33,996,20,101,0,26.1534187111432,80.96944115431482,6984
36,4,1,0,1,Adventure,4,Weekday,32,45,1010,13,193,0,26.745849814052075,80.39287750164932,3888
85,1,1,1,0,Cultural,4,Weekday,16,37,1011,9,55,10,26.351653728616277,80.25390802831377,2482
50,3,1,1,0,Adventure,4,Weekday,37,45,1014,7,163,0,26.343907635289582,80.15875578492073,2833
66,5,1,0,1,Adventure,4,Weekday,19,90,1018,2,238,0,26.31863385251348,80.92755141775842,4104
194,9,0,1,0,Adventure,4,Weekday,33,51,998,19,212,5,26.32437581146225,80.21806431285768,4517
109,9,0,1,1,Weekend,4,Weekday,17,82,994,2,300,0,26.916504529379555,80.76019372676816,5908
419,5,0,0,0,Weekend,4,Weekday,23,73,993,18,93,9,26.972311240761258,80.74597043647438,4500
444,5,1,1,0,Cultural,4,Weekday,36,62,1009,3,330,0,26.97763588446955,80.54396668946087,6295
263,7,0,1,0,Adventure,4,Weekday,40,68,999,4,229,0,26.15570289254391,80.32633000184079,4502
38,2,0,1,0,Cultural,4,Weekday,26,59,998,20,214,0,26.815750333800402,80.73345384301051,2229
248,9,0,1,1,Adventure,4,Weekday,27,33,999,22,339,3,26.02772422196602,80.06439559154263,6198
157,7,1,0,1,Adventure,4,Weekday,24,46,1013,16,284,9,26.528180194076107,80.18751495113605,5636
76,6,1,0,0,Cultural,4,Weekday,23,61,994,4,278,4,26.513491284812034,80.1741654801752,2608
183,9,1,0,1,Adventure,4,Weekday,38,80,1000,19,307,0,26.170831642496367,80.21475103580087,5749
151,1,0,0,1,Cultural,4,Weekday,21,72,993,10,67,6,26.260520960928257,80.52412597188008,3376
301,5,0,1,1,Adventure,4,Weekday,25,88,1001,10,12,0,26.094864660458818,80.29393997072577,6189
115,10,0,0,0,Weekend,4,Weekday,34,37,1006,16,269,0,26.272136309206992,80.80933077741157,3838
481,10,1,0,0,Weekend,4,Weekday,33,39,990,10,225,0,26.204590057002132,80.38370385209555,6649
59,5,0,0,1,Adventure,4,Weekday,35,58,1000,17,197,0,26.905481444630798,80.10968964736536,3939
99,7,0,0,0,Weekend,4,Weekday,19,89,1007,19,104,7,26.158869889439366,80.79391149110783,2370
435,6,1,0,1,Adventure,4,Weekday,17,85,1011,21,230,5,26.233810488173287,80.04862729242937,7192
368,8,1,1,1,Cultural,4,Weekday,34,86,1014,9,334,10,26.5513852588943,80.30576971006494,8051
258,3,0,1,1,Cultural,4,Weekday,20,71,1009,19,15,2,26.22987973667374,80.40884785364904,5587
179,5,1,0,0,Adventure,4,Weekday,33,50,997,24,150,0,26.271627797110884,80.52579652545263,3519
402,6,0,0,1,Weekend,4,Weekday,34,57,1015,21,294,0,26.51443080360657,80.3585644745259,6164
265,4,0,0,1,Weekend,4,Weekday,26,71,1011,14,179,4,26.125121569477173,80.55924808824686,4958
198,4,1,0,0,Weekend,4,Weekday,17,84,1004,15,151,0,26.285803334006168,80.5987212435493,3776
380,3,0,0,1,Weekend,4,Weekday,25,74,1002,7,303,0,26.343532314830274,80.20007634570312,5398
200,10,1,1,0,Adventure,4,Weekday,36,39,1018,5,248,0,26.92017840819394,80.51669022487313,5374
194,1,1,0,1,Adventure,4,Weekday,37,51,1004,25,94,0,26.249492535974507,80.34458351864295,4721
460,5,1,1,1,Weekend,4,Weekday,34,45,1016,14,162,0,26.871986981027543,80.9667348205746,7586
108,7,1,1,1,Weekend,4,Weekday,16,59,1008,10,170,6,26.317542446884794,80.54818824388526,5647
247,6,0,0,1,Adventure,4,Weekday,19,65,1015,10,102,0,26.530734809065024,80.85640356696929,4770
203,5,1,1,0,Adventure,4,Weekday,40,73,1018,10,107,0,26.324003258921937,80.53880781769585,4168
145,7,1,1,0,Cultural,4,Weekday,39,78,992,24,250,0,26.36844479213402,80.41913661449833,4396
259,5,1,1,1,Weekend,4,Weekday,22,39,1002,20,81,0,26.385619757189833,80.40643068185767,6392
490,1,1,0,0,Cultural,4,Weekday,17,64,1006,17,50,0,26.210064206876506,80.47206736620997,5337
243,1,1,1,0,Cultural,4,Weekday,15,75,1002,24,209,7,26.72795342433365,80.58235139215377,4177
156,10,0,0,1,Weekend,4,Weekday,27,43,996,19,43,4,26.76216213133371,80.44891892588223,5139
408,9,0,0,1,Adventure,4,Weekday,27,66,997,21,21,0,26.9251229222723,80.48970210195188,6721
172,8,1,1,1,Adventure,4,Weekday,24,61,990,13,128,0,26.206062968891477,80.21402073914896,6044
220,6,1,0,1,Adventure,4,Weekday,39,41,990,15,147,1,26.2827275471206,80.68427621280544,5459
129,7,0,0,1,Weekend,4,Weekday,40,74,1010,7,63,0,26.910916773918416,80.4939637101417,4299
149,10,1,1,0,Cultural,4,Weekday,26,50,1011,13,137,0,26.94420463041506,80.00020943830582,5455
367,8,1,0,0,Adventure,4,Weekday,28,75,1008,10,21,3,26.64237395681616,80.98119462692017,5816
156,8,0,0,0,Adventure,4,Weekday,26,62,1005,4,145,8,26.509963482400455,80.08691565030456,3325
342,6,0,1,1,Adventure,4,Weekday,36,35,1010,6,330,0,26.100072597357606,80.26900069603936,6513
365,3,1,1,1,Adventure,4,Weekday,39,36,1013,11,172,0,26.98737276411457,80.03907422772735,6406
343,3,0,1,0,Cultural,4,Weekday,35,48,1006,25,2,0,26.099525283829184,80.75037006572722,4234
299,2,0,1,1,Adventure,4,Weekday,28,66,1016,2,204,10,26.503174381366613,80.87935240130886,5711
136,10,0,0,1,Weekend,4,Weekday,32,89,1004,24,349,0,26.00701695973614,80.05078476524008,5141
376,6,0,1,0,Weekend,4,Weekday,24,32,991,13,3,3,26.60179544832937,80.91144195229212,5505
115,8,1,0,1,Weekend,4,Weekday,28,46,1011,14,276,0,26.151207559359758,80.0157935848135,4692
88,10,1,0,1,Adventure,4,Weekday,38,53,1002,25,153,0,26.458645949149872,80.95706099919191,5089
316,6,0,1,0,Adventure,4,Weekday,34,57,1019,2,101,0,26.356739806120974,80.48546771683343,5147
233,7,0,0,0,Cultural,4,Weekday,25,56,1006,7,277,0,26.398611572044906,80.85067035535697,3628
253,3,1,0,0,Cultural,4,Weekday,25,40,1019,17,192,0,26.025779129357268,80.91668586474673,3679
136,1,1,1,1,Adventure,4,Weekday,31,31,996,8,261,10,26.594372104636587,80.0860262391729,4490
179,5,0,0,1,Weekend,4,Weekday,20,84,1000,23,330,0,26.275794710097426,80.67180096726487,3972
103,1,1,1,0,Weekend,4,Weekday,30,49,1015,7,229,0,26.246475456974135,80.79084844329454,2779
67,3,0,1,1,Cultural,4,Weekday,37,77,992,21,106,3,26.997154723033614,80.40950449037258,3499
421,8,0,1,0,Weekend,4,Weekday,34,31,1016,23,196,0,26.792500522848744,80.78228348238083,6030
340,10,0,1,0,Adventure,4,Weekday,29,77,992,18,319,10,26.004449036866593,80.19508573448982,5607
386,9,1,0,0,Adventure,4,Weekday,19,81,997,13,49,0,26.104790936688133,80.16262830627356,6127
417,2,1,1,1,Weekend,4,Weekday,19,58,1015,9,351,0,26.204881823414105,80.77144175101279,6873
97,7,1,0,1,Cultural,4,Weekday,16,32,1017,5,215,0,26.097712271694252,80.73819861820319,4389
417,2,1,1,1,Weekend,4,Weekday,19,67,991,3,148,0,26.80466353129272,80.9772267921906,7182
413,3,0,1,1,Cultural,4,Weekday,17,58,1001,22,178,0,26.14166762960877,80.34677172455609,7144
140,2,1,0,0,Weekend,4,Weekday,16,56,1008,12,31,0,26.53270873251556,80.0955068702913,2972
68,1,1,0,1,Adventure,4,Weekday,30,82,991,25,59,0,26.382200358107582,80.77119315621157,3439
90,8,0,0,0,Weekend,4,Weekday,39,72,998,16,32,0,26.586172933273062,80.94250059990812,3191
413,2,0,0,0,Adventure,4,Weekday,32,88,1016,3,98,0,26.821662155548566,80.90515757792804,4360
249,1,1,1,0,Adventure,4,Weekday,37,71,1001,11,290,0,26.86557965562965,80.95431784791128,3882
368,4,1,1,1,Adventure,4,Weekday,39,68,1010,8,126,0,26.30684098587433,80.21374294947984,7337
104,4,0,1,0,Adventure,4,Weekday,34,52,1020,22,12,9,26.733180356728617,80.17080157324253,3058
425,4,0,1,0,Weekend,4,Weekday,24,87,1019,9,335,1,26.93671062955083,80.71332958883991,5876
349,4,1,1,1,Adventure,4,Weekday,32,74,1004,14,128,0,26.23586443381863,80.07280553073132,6763
203,10,1,1,0,Weekend,4,Weekday,36,84,1020,2,353,4,26.218816481487735,80.87846369164376,5695
412,6,1,0,1,Weekend,4,Weekday,30,72,1011,12,33,5,26.83166294888661,80.5546158733654,7316
364,2,1,1,0,Cultural,4,Weekday,22,81,1011,4,110,0,26.59289900515158,80.96308802736453,5381
493,3,0,0,1,Adventure,4,Weekday,34,79,1016,4,130,9,26.678776458691978,80.86350484568706,6463
461,8,1,0,0,Weekend,4,Weekday,24,54,1001,7,266,0,26.079314609691693,80.68812360228374,6104
29,8,1,1,0,Cultural,4,Weekday,38,32,998,24,170,6,26.783166843815614,80.48963834394158,3910
81,3,1,1,0,Adventure,4,Weekday,19,52,991,18,290,0,26.655750076626806,80.49232314777962,2885
422,4,0,1,0,Adventure,4,Weekday,36,66,1020,22,70,0,26.809620449508223,80.82854645783623,5931
497,8,0,0,0,Adventure,4,Weekday,39,74,1020,5,273,1,26.02031955579991,80.61881704333231,6302
391,7,1,1,0,Cultural,4,Weekday,25,47,1017,25,100,0,26.96957702262698,80.63567417388006,6604
291,8,1,1,1,Cultural,4,Weekday,33,31,1009,25,69,0,26.903048248388746,80.19922658835806,6827
413,9,0,1,1,Weekend,4,Weekday,31,35,1009,14,52,4,26.55723906062694,80.78509749161482,7489
375,6,1,1,0,Adventure,4,Weekday,25,32,1012,21,53,0,26.915327344646922,80.98221499829968,6267
148,6,1,1,0,Cultural,4,Weekday,23,30,1015,18,52,0,26.055389327318206,80.42712844275279,4598
215,8,1,1,1,Adventure,4,Weekday,31,60,1019,10,325,2,26.58523706448011,80.39903317822191,6255
224,1,1,1,0,Adventure,4,Weekday,17,47,994,7,3,0,26.811044964397194,80.35465849864457,3494
292,6,0,1,1,Cultural,4,Weekday,34,54,1019,3,30,0,26.89583468234768,80.67413810020724,5995
271,2,0,0,1,Weekend,4,Weekday,23,71,1002,13,240,0,26.8895225726245,80.7825817212631,4634
180,10,1,1,0,Weekend,4,Weekday,28,82,995,18,91,1,26.725988305530652,80.84131091731645,5072
100,10,0,0,1,Cultural,4,Weekday,15,36,999,24,291,4,26.636126163722235,80.29207798752182,4662
431,9,1,1,1,Cultural,4,Weekday,19,73,1008,23,236,0,26.097390484202762,80.00646355662116,8343
143,5,1,1,0,Weekend,4,Weekday,17,33,994,10,95,0,26.251527982159658,80.63819125503198,3586
332,10,1,0,1,Adventure,4,Weekday,24,85,1001,8,134,1,26.180880534647965,80.3112518114443,6656
432,1,1,1,0,Adventure,4,Weekday,24,66,996,14,271,3,26.958084707135512,80.04185673526217,5527
465,7,1,0,0,Cultural,4,Weekday,35,30,1005,13,295,2,26.71846264505995,80.41907474574452,6082
363,5,1,1,1,Weekend,4,Weekday,33,72,996,2,295,0,26.056343176227116,80.71433540740517,7703
306,6,0,0,1,Cultural,4,Weekday,35,57,1017,4,176,3,26.10555382498668,80.17946618655463,5954
402,4,1,1,1,Cultural,4,Weekday,40,83,996,6,316,1,26.151136376329198,80.96732912566964,7468
199,10,1,1,0,Weekend,4,Weekday,18,37,993,23,319,0,26.037030313616718,80.81423663852667,5730
193,9,0,1,1,Adventure,4,Weekday,39,87,1003,23,131,1,26.330986560406895,80.70356070399545,5662
156,10,1,1,0,Cultural,4,Weekday,35,54,1011,19,0,0,26.119861404150644,80.51453409655261,5194
308,2,1,0,0,Adventure,4,Weekday,30,83,1016,18,310,2,26.555514153043454,80.08664949996196,4322
281,7,1,1,1,Adventure,4,Weekday,22,31,1006,18,93,0,26.04269717300237,80.37033507594673,6918
214,10,1,1,0,Weekend,4,Weekday,33,84,1011,5,129,0,26.454563348416016,80.87994397013604,5433
498,3,0,1,0,Weekend,4,Weekday,36,69,990,5,241,3,26.776750731611088,80.90609543167086,5601
120,6,0,0,1,Weekend,4,Weekday,19,33,1018,10,63,6,26.26435388002431,80.9389924059209,4401
81,9,1,1,0,Adventure,4,Weekday,18,39,1010,16,290,0,26.58935635457028,80.87237101760513,4089
397,10,0,1,0,Weekend,4,Weekday,24,58,1012,6,128,0,26.393697053772172,80.00541986311556,6380
385,10,0,0,0,Adventure,4,Weekday,21,88,1003,3,164,0,26.43882457624329,80.05911900204478,5833
294,4,0,0,1,Cultural,4,Weekday,27,60,1001,24,164,6,26.141670746187664,80.1665428306987,5470
482,9,1,0,0,Cultural,4,Weekday,27,63,998,24,202,0,26.184301692154342,80.56272267063756,6379
436,9,1,1,1,Cultural,4,Weekday,21,87,1008,5,254,0,26.87480804717096,80.14888088171273,8095
246,8,0,1,1,Cultural,4,Weekday,34,63,1009,18,102,0,26.830211765576305,80.82574219491936,5887
246,8,1,0,1,Cultural,4,Weekday,26,68,1004,4,207,3,26.060558171744347,80.40565911810968,5671
372,5,0,1,1,Cultural,4,Weekday,17,32,1003,14,31,0,26.32021675621011,80.99425616815877,6327
136,8,0,1,1,Cultural,4,Weekday,30,33,1005,11,338,0,26.482863403690715,80.62242002823675,5220
208,2,1,1,1,Cultural,4,Weekday,36,57,1003,14,30,0,26.782021632142012,80.82523538810759,5405
54,6,1,1,0,Weekend,4,Weekday,40,69,1013,14,221,0,26.151254764003905,80.43772554425125,2946
305,3,0,0,0,Cultural,4,Weekday,18,86,999,18,210,0,26.34938828737023,80.66357605046271,3329
103,3,1,0,0,Weekend,4,Weekday,15,77,994,16,262,8,26.620268288896575,80.78279156747101,2712
466,3,0,0,1,Weekend,4,Weekday,21,83,1008,2,226,9,26.782985186584867,80.23944367094091,6497
464,4,1,1,1,Adventure,4,Weekday,24,31,1019,16,85,4,26.39866852122657,80.5514842929415,7391
300,1,1,0,1,Adventure,4,Weekday,19,50,990,13,218,0,26.69580928290847,80.10401210969212,4906
198,8,0,1,0,Weekend,4,Weekday,21,69,1010,15,261,5,26.703944593227163,80.36760230235265,4866
286,3,0,1,0,Adventure,4,Weekday,16,53,1020,25,317,9,26.239531798276186,80.95682932165742,4619
329,8,1,0,0,Weekend,4,Weekday,27,39,1014,3,172,1,26.807539033550608,80.58541229831638,5156
437,5,0,0,0,Adventure,4,Weekday,30,63,992,13,287,0,26.18901054476587,80.05671401110223,4744
297,10,1,0,0,Weekend,4,Weekday,31,37,1009,14,199,7,26.846162863340744,80.65454743861514,5151
188,4,1,1,0,Adventure,4,Weekday,19,43,992,15,223,2,26.288011875077054,80.5433556935466,4045
497,1,1,1,1,Cultural,4,Weekday,38,49,991,5,292,6,26.682424653197316,80.79304694639627,7413
276,3,0,1,1,Cultural,4,Weekday,20,52,1015,17,250,0,26.963465019240427,80.85119595674405,6070
29,2,0,0,1,Weekend,4,Weekday,18,74,1010,20,316,0,26.556922192690124,80.52918774696099,2507
425,1,0,0,1,Adventure,4,Weekday,20,79,990,15,175,2,26.95344269592559,80.45895822321506,5218
446,6,1,1,0,Weekend,4,Weekday,38,40,1017,6,66,8,26.22342002510692,80.52110737206526,6596
152,6,0,1,0,Cultural,4,Weekday,34,32,999,23,215,0,26.134768242254673,80.81543072902703,3919
445,3,1,1,1,Cultural,4,Weekday,17,69,993,10,244,0,26.298837752935174,80.37846744719496,7808
51,6,1,1,0,Cultural,4,Weekday,36,78,1001,14,115,9,26.649427718834986,80.65108679125845,3571
320,5,0,1,0,Cultural,4,Weekday,24,30,1013,25,200,2,26.591307328422612,80.45664236067347,4564
204,8,1,0,1,Cultural,4,Weekday,19,56,1014,23,264,10,26.390570805038006,80.45491337615294,6054
96,10,0,1,0,Cultural,4,Weekday,16,47,1014,23,106,0,26.559410556595676,80.32010933955407,4234
